"","sid","depth","minProbe","minProbeDate","maxProbe","maxProbeDate","thickness","modLL","modDUL","slgaLL","slgaDUL"
"134","opSID_40112",500,30.361540625,2016-09-25,51.26015625,2020-11-28,100,0.129557259724648,0.26260722398504,0.133379421643937,0.276817644060733
"135","opSID_40112",600,38.3128625,2016-09-25,56.1246666666667,2021-01-26,100,0.128260347061339,0.252402183150089,0.13438278135681,0.276572848631659
"136","opSID_40112",700,41.9744828125,2016-09-24,57.9264052083333,2021-01-26,100,0.126892711354075,0.243055380008626,0.133515854882542,0.274369298088809
"137","opSID_40112",800,42.926084375,2016-09-24,56.9327041666667,2021-01-26,100,0.126008467061944,0.236874235023305,0.132356821632358,0.271685589166989
"138","opSID_40112",900,46.7442546875,2016-09-24,59.3631354166667,2021-01-27,100,0.125612310070193,0.233878302604826,0.130919056008048,0.268534252347003
"139","opSID_40112",1000,47.0908,2016-09-24,56.7729145833333,2019-03-07,100,0.125704240378823,0.23406758275319,0.129202558009611,0.26491528762885
"140","opSID_40113",100,0,2017-02-18,31.353734375,2020-10-05,100,0.0923594634286203,0.220592915043315,0.0916238996531244,0.236612322590553
"141","opSID_40113",200,31.2471333333333,2018-07-02,63.103596875,2020-10-05,100,0.122223023316579,0.258220566534088,0.110447335033504,0.251222979594596
"142","opSID_40113",300,39.7578302083333,2018-07-02,65.0650756944444,2020-10-08,100,0.145197327331588,0.27696862057381,0.127875101474017,0.268010141069708
"143","opSID_40113",400,38.9642052083333,2018-07-03,56.1096243055556,2020-11-28,100,0.158074748012979,0.280683687942251,0.1398818587471,0.280632177257069
"144","opSID_40113",500,42.58820625,2018-07-23,58.60779375,2018-01-20,100,0.164178168275095,0.28025715147038,0.14637097294242,0.286746555463535
"145","opSID_40113",600,42.8546902439024,2020-10-09,60,2020-11-04,100,0.163535748142635,0.275781311012698,0.147341625128534,0.286333423717129
"146","opSID_40113",700,40.4988763066202,2020-10-11,56.324403125,2017-01-14,100,0.159615504503573,0.269978257392362,0.145132351540873,0.282143745494135
"147","opSID_40113",800,36.17803125,2016-09-26,51.2275073684211,2017-03-13,100,0.157469610108296,0.266813505635702,0.143149908670556,0.27818509721679
"148","opSID_40113",900,33.4740041666667,2016-09-25,50.1336385416667,2017-01-21,100,0.157140879980111,0.266320661802263,0.141423167335306,0.274491441397146
"149","opSID_40113",1000,41.9148333333333,2020-11-02,60,2021-01-09,100,0.158629314119019,0.268499725892045,0.139952127535121,0.271062778035205
"150","opSID_40114",100,2.090109375,2018-05-02,24.83526875,2016-12-28,100,0.0853967005137258,0.196373128256668,0.100985882055889,0.244983797376513
"151","opSID_40114",200,21.9572640625,2016-09-20,44.1730208333333,2020-10-29,100,0.114218809342319,0.239420440679608,0.120892511311614,0.259748983923615
"152","opSID_40114",300,33.3901390625,2016-09-20,49.7144875,2020-11-28,100,0.133186917056605,0.267330452666,0.134916235132931,0.272013711737296
"153","opSID_40114",400,38.7522020833333,2018-06-20,54.8367677083333,2021-01-11,100,0.140642451872856,0.272290839716838,0.141957096564568,0.278952960751923
"154","opSID_40114",500,40.4828822916667,2018-07-23,58.9409041666667,2021-01-13,100,0.147730048957165,0.275878711854712,0.146113465021823,0.282465955625301
"155","opSID_40114",600,43.753628125,2017-10-14,61.355496875,2021-01-13,100,0.154544154370262,0.27827692594422,0.147420072448894,0.282568791481647
"156","opSID_40114",700,48.5224328125,2016-09-20,65.369870212766,2021-01-14,100,0.160095673430814,0.279719981325491,0.146958439379965,0.280504684511346
"157","opSID_40114",800,51.2380015625,2016-09-20,64.6871333333333,2017-03-28,100,0.162943702775893,0.280549494321182,0.146304114247554,0.278084739781873
"158","opSID_40114",900,51.6920125,2016-09-20,63.9371802083333,2017-03-28,100,0.163076031360049,0.280768359984873,0.14547044915702,0.275324305641257
"159","opSID_40114",1000,54.617390625,2016-09-20,66.6661052083333,2019-03-06,100,0.160492659183283,0.280376578316567,0.144457444108363,0.272223382089499
"160","opSID_40115",100,1e-04,2018-01-03,21.790215625,2019-09-21,100,0.0633051217810717,0.255606348012744,0.0874431644913296,0.24196774414981
"161","opSID_40115",200,8.74775625,2016-09-30,33.439421875,2020-10-12,100,0.0747935616717901,0.259377032980025,0.0944311496094724,0.24135801582758
"162","opSID_40115",300,13.3143083333333,2016-09-30,34.8749708333333,2020-11-22,100,0.094160712652074,0.259145409382033,0.0986377688002816,0.241308805812974
"163","opSID_40115",400,18.4634510416667,2016-10-01,31.6143823529412,2020-02-27,100,0.115151207223452,0.261228965936622,0.100393948392894,0.241186509038161
"164","opSID_40115",500,18.7735510416667,2016-09-23,29.5328239583333,2021-01-25,100,0.126860474264165,0.262584056764334,0.101606122386102,0.240590764071944
